POMONA PASSION  FROID,DESSERTS,Crème dessert au lait entier vanille  125 g,21766,Creme onctueuse sav van (125Gx4)x6/24p,,SANS MARQUE,LAITERIE SAINT PÈRE,France,PLAQUE,de,4,POT(S), à  ,"0,558",€,POT,4
POMONA PASSION  FROID,DESSERTS,Crème dessert au lait entier café  125 g,,,,,,,,de,0,, à  ,0,€,,
POMONA PASSION  FROID,DESSERTS,Crème dessert au lait entier pistache  125 g,,,,,,,,de,0,, à  ,0,€,,
POMONA PASSION  FROID,DESSERTS,Crème dessert au lait entier praliné  125 g,,,,,,,,de,0,, à  ,0,€,,
POMONA PASSION  FROID,ENTREMETS,Riz au lait caramel 100 g,42934,Riz lait ent lit caramel (100Gx4x6)/24p,,LAITERIE DES SAINTS PERES,LAITERIE SAINT PÈRE,France,PLAQUE,de,24,POT(S), à  ,"4,628",€,POT,1
POMONA PASSION  FROID,ENTREMETS,Riz au lait  100 g,42936,Riz au lait sav vanille (100Gx4)x6/24p,,LAITERIE DES SAINTS PERES,LAITERIE SAINT PÈRE,France,PLAQUE,de,4,POT(S), à  ,"0,8",€,POT,1
POMONA PASSION  FROID,ENTREMETS,Gâteau de semoule nappé caramel  100 g,68198,NPUSemoulenatnappe caramel(95Gx12p)Nova,,NOVLY,NOVANDIE,,PLAQUE,de,12,POT(S), à  ,"2,52",€,POT,1
POMONA PASSION  FROID,ENTREMETS,Crème renversée nappée caramel 100g,63914,Creme renverse nappe caram (100Gx12)Nova,,NOVLY,NOVANDIE,France,PLAQUE,de,12,POT(S), à  ,"3,384",€,POT,1
POMONA PASSION  FROID,ENTREMETS,Créme caramel aux oeufs frais 100g,,,,,,,,de,0,, à  ,0,€,,
POMONA PASSION  FROID,ENTREMETS,Ile flottante aux oeufs 100 g,22805,Ile gourmande (101Gx6)x4 /24p Yoplait,,YOPLAIT,YOPLAIT,,PLAQUE,de,24,POT(S), à  ,"8,492",€,POT,1
POMONA PASSION  FROID,LIEGEOIS,Liégeois café 100 g,22690,Liegeois cafe maestro (100Gx4x6) Nova,,NOVLY,NOVANDIE,France,PLAQUE,de,24,POT(S), à  ,"3,504",€,POT,1
POMONA PASSION  FROID,LIEGEOIS,Liégeois chocolat  100 g,22714,Liegeois sav choco maestro(100Gx4x6)Nova,,NOVLY,NOVANDIE,France,PLAQUE,de,24,POT(S), à  ,"3,504",€,POT,1
POMONA PASSION  FROID,LIEGEOIS,Danette liégeoise chocolat noisette,95689,Danette liegeois chocolat (100Gx4x8)/32p,,DANONE,DANONE PRODUITS FRAIS France,France,PLAQUE,de,32,POT(S), à  ,"9,728",€,POT,1
POMONA PASSION  FROID,LIEGEOIS,Danette liégeoise vanille,135206,Danette liegeois vanille (100Gx4x8)/32p,,DANONE,DANONE PRODUITS FRAIS France,France,PLAQUE,de,32,POT(S), à  ,"9,728",€,POT,32
